Racines NY,Rissoles a la Merrill,24
Barleycorn,Chambertin,9
Barleycorn,St. Julien,14
Barleycorn,Vegetable,17
Barleycorn,Puree of split peas aux croutons,22
The barber soho new york,Broiled shad, Maitre d'hotel,17
The barber soho new york,Mashed potatoes,1
The barber soho new york,Breaded veal cutlet with peas,24
The barber soho new york,Hind-quarter of spring lamb with stuffed tomatoes,24
Recreation,Doucette salad,22
Recreation,New beets,23
Recreation,Salisbury steak au cresson,28
Recreation,Boiled rice,5
W XYZ Bar and Lounge at Aloft Manhattan Downtown,Boiled onions, cream sauce,6
W XYZ Bar and Lounge at Aloft Manhattan Downtown,Old fashioned rice pudding,22
W XYZ Bar and Lounge at Aloft Manhattan Downtown,Ice cream,6
W XYZ Bar and Lounge at Aloft Manhattan Downtown,Coffee,9
Gianfranco Trentarossi,Milk,29
Gianfranco Trentarossi,Mush,23
Gianfranco Trentarossi,Rolled Oats,3
Gianfranco Trentarossi,Small Hominy,5
Rosa Mexicano,Kippered Herring,16
Rosa Mexicano,Strawberries with cream,16
Rosa Mexicano,Compote of fruits,16
Rosa Mexicano,Orange marmalade,22
Gallera Los Angeles,Bananas,4
Gallera Los Angeles,Bananas with cream,27
Gallera Los Angeles,Austern in der Schale,19
Gallera Los Angeles,Stewed prunes,27
Hummus bar and grill,Grapes,7
Hummus bar and grill,Honey in comb,6
Hummus bar and grill,Apples,11
Hummus bar and grill,Oranges sliced,4
The Edison,Large pot of coffee,26
The Edison,Cup of coffee (served in small pot),13
The Edison,Large pot of Oolong tea,6
The Edison,Pot of chocolate,13
Justice Urban Tavern,Pot of broma,8
Justice Urban Tavern,Suppe, Schlossherrin Art,17
Justice Urban Tavern,Eggs, boiled [2],28
Justice Urban Tavern,Sliced Bananas and Cream,4
Kushi Shabu Restaurant,Pettijohn Breakfast Food,10
Kushi Shabu Restaurant,Quaker Oats,18
Kushi Shabu Restaurant,Hotch potch von Ochsenschwanazen,11
Kushi Shabu Restaurant,Sugar Cured Ham,5
The New Jalisco Bar,Planked shad,25
The New Jalisco Bar,Baked bluefish, Duxelle,9
The New Jalisco Bar,Consomme aux Quenelle's,21
The New Jalisco Bar,Milk rice,17
bluewhale,French rolls,24
bluewhale,Milk rolls,19
bluewhale,Corn muffins,6
bluewhale,Omelette aux fines herbes,19
Five Star Bar,Bacon and eggs,2
Five Star Bar,Fish cakes,28
Five Star Bar,Food,29
Five Star Bar,Shreaded Wheat,28
La Costena Bar,Oyster cocktail,10
La Costena Bar,Little Neck clams,29
La Costena Bar,Stuffed olives,13
La Costena Bar,Lalla Rookh,21
The Redwood Bar & Grill,Martineaus,3
The Redwood Bar & Grill,Oatmeal,6
The Redwood Bar & Grill,hominy with milk,20
The Redwood Bar & Grill,Baked apples,22
Birds & Bees,Chicken broth, per cup,30
Birds & Bees,Terrapin, Maryland,23
Birds & Bees,Sardines on toast,25
Birds & Bees,English snipe,11
Nirvana Sports Bar & Grill,Tutti frutti,14
Nirvana Sports Bar & Grill,Lady fingers,22
Nirvana Sports Bar & Grill,Marrow bones on toast,28
Nirvana Sports Bar & Grill,Fresh mushrooms on toast,19
Mitsuru Sushi & Grill,Club sandwich,25
Mitsuru Sushi & Grill,Baked Stuffed Mullet & Sauce Pomard,11
Mitsuru Sushi & Grill,Thon marine,13
Mitsuru Sushi & Grill,Croquettes of sweetbreads,7
The Lexington,Demi-tasse,23
The Lexington,Strawberry,12
The Lexington,Oyster Bay asparagus,26
The Lexington,SMALL TENDERLOIN STEAK, A LA STANLEY,19
The Crossing,Apollinoris,8
The Crossing,Vve Cliquot,30
The Crossing,Chicken broth,25
The Crossing,Fruits in Season,14
Tokyo Beat,Oatmeal Porridge,27
Tokyo Beat,Mashed Hominy,29
Tokyo Beat,Plain Omelette,5
Tokyo Beat,Canape, Martha,2
Ohjah Lounge,Fried Flounders,25
Ohjah Lounge,Strawberry short cake,18
Ohjah Lounge,Fried smelts,20
Ohjah Lounge,Fried fish,8
Baldoria,BUZZARD BAY OYSTERS,12
Baldoria,Strained gumbo,24
Baldoria,Bouillon in cup,8
Baldoria,Queen olives,20
Far Bar,Panfish, Meuniere,4
Far Bar,German fried potatoes,13
Far Bar,Ribs of prime beef,14
Far Bar,Calf's tongue, caper sauce,24
Tot,Assorted cakes,7
Tot,Scollops en caisse, Supreme,21
Tot,Irish stew,15
Tot,Marrow on toast, Bordelaise,12
Kitty O'Sheas,Potato salad,4
Kitty O'Sheas,Chicken salad,26
Kitty O'Sheas,Spinach with egg,13
Kitty O'Sheas,Boiled potatoes,8
Union League Club,Hot buns,17
Union League Club,Tongue,27
Union League Club,Lemon ice cream,20
Union League Club,Pickled lambs' tongues,11
Brando's Speakeasy,Apricots,26
Brando's Speakeasy,Red currant jam,8
Brando's Speakeasy,Chipped beef,20
Brando's Speakeasy,Turkey,7
Plymouth Restaurant & Rooftop Bar,Chocolate,10
Plymouth Restaurant & Rooftop Bar,Roast beef,11
Plymouth Restaurant & Rooftop Bar,Corned beef,13
Plymouth Restaurant & Rooftop Bar,Boned capon,4
The Marq,Cumberland ham,10
The Marq,Chicken,3
The Marq,Fried Eggs,21
The Marq,Broiled Ham,27
Elephant & Castle,Rolls,28
Elephant & Castle,Griddle cakes,10
Elephant & Castle,Porterhouse Steak,2
Elephant & Castle,Pommes de Terre a la Creme,8
Sky-Ride Cocktail Lounge,Sirloin Steak,24
Sky-Ride Cocktail Lounge,Filet mignon, Lyonnaise,3
Sky-Ride Cocktail Lounge,All Kinds of Pies per cut,8
Sky-Ride Cocktail Lounge,Sandwiches of all Kinds,15
Antique Taco Chiquito,Hamburger Steak,22
Antique Taco Chiquito,Veal Chops or Cutlets,14
Antique Taco Chiquito,Pork Chops,21
Antique Taco Chiquito,Ham & Eggs,8
Jack Schwartz Importer,Fried Liver,29
Jack Schwartz Importer,German Pancake,24
Jack Schwartz Importer,Oysters & Clams,7
Jack Schwartz Importer,Stewed,9
Revival Food Hall,Hominy,14
Revival Food Hall,Omelette a l'Oseille,5
Revival Food Hall,Eggs au Beurre Noir,20
Revival Food Hall,Smelts - Remoulade,21
REFUGE Live!,Grilled Ham,11
REFUGE Live!,Calves Liver & Bacon,11
REFUGE Live!,Lamb Hash - en Bordure,24
REFUGE Live!,Mutton Chops - Mashed Potatoes,18
Dickie's Pub,Marmalade,18
Dickie's Pub,Jam,23
Dickie's Pub,Cocoa,6
Dickie's Pub,Oat Meal,10
The Bar Below in Chicago,Poached Eggs on Toast,6
The Bar Below in Chicago,Broiled Fresh Mackerel,14
The Bar Below in Chicago,Chicken Liver with Bacon,4
The Bar Below in Chicago,Minced Veal a la Zingari,22
Barcode Discount,Baked Weakfish,9
Barcode Discount,Half and Half Scallops & Oysters,22
Barcode Discount,Pork Chops Piquante Sauce,22
Barcode Discount,Broiled Kidney with Bacon,10
The Grillroom Chophouse & Wine Bar,Bunns,19
The Grillroom Chophouse & Wine Bar,Graham Muffins,3
The Grillroom Chophouse & Wine Bar,Hot Cakes,24
The Grillroom Chophouse & Wine Bar,Tea and Coffee,19
Beef and Brandy,Smelts Meuniere,14
Beef and Brandy,Findon Haddock,3
Beef and Brandy,Paysanne,10
Beef and Brandy,Boiled Whiting and Parsley Sauce,17
Exchequer Restaurant & Pub,Sausages and Mashed Potatoes,23
Exchequer Restaurant & Pub,Veal and Ham Pie,26
Exchequer Restaurant & Pub,Roast Lamb,16
Exchequer Restaurant & Pub,Fried Flounder,13
QDOBA Mexican Eats,Fillet Steaks aux Champignon,20
QDOBA Mexican Eats,oatmeal with cream,18
QDOBA Mexican Eats,broiled shad,18
QDOBA Mexican Eats,Milk stew,21
AraOn Restaurant,Raw on the Half Shell,6
AraOn Restaurant,Beef Steak,29
AraOn Restaurant,Saratoga Chips,5
AraOn Restaurant,Grilled Mutton Chops,29
2Twenty2 Tavern,Smelts,26
2Twenty2 Tavern,Tartare Sauce,22
2Twenty2 Tavern,Sausage,2
2Twenty2 Tavern,Porto-Rico,26
Blue by Massa's,Sliced Pineapples,26
Blue by Massa's,Soles Normandy,20
Blue by Massa's,Broiled Salt Mackerel,28
Blue by Massa's,Shad roe and bacon,10
The Wine Cellar Houston,Minced scallops on toast,17
The Wine Cellar Houston,Steak Pie,26
The Wine Cellar Houston,Mutton,25
The Wine Cellar Houston,Boston Box Stew,27
The Blue Fish Bayou Place,Fry with Bacon,30
The Blue Fish Bayou Place,Oyster Omelette,8
The Blue Fish Bayou Place,Stewed Tripe,30
The Blue Fish Bayou Place,Pork Sausage,10
Hard Rock Cafe,Broiled Mackerel, Butter Sauce,28
Hard Rock Cafe,Mock Turtle,23
Hard Rock Cafe,Consomme Benoiton,28
Hard Rock Cafe,Puree of Tomatoes,2
Little Napoli Italian Cuisine,Consomme Plain,16
Little Napoli Italian Cuisine,Minced Chicken, Creamed Rice,1
Little Napoli Italian Cuisine,Schmorbraten a la bourgeoise,11
Little Napoli Italian Cuisine,Kartoffelmus,24
Shula's Steak House,Consomme San Remo,3
Shula's Steak House,Gebackene Kartoffeln,28
Shula's Steak House,Calvesâ€™ Liver & Bacon,2
Shula's Steak House,Eggs to order,1
Russo's New York Pizzeria,Puree Mongol,10
Russo's New York Pizzeria,Broiled Rashers of Ham and Bacon,9
Russo's New York Pizzeria,Consomme Printanier,15
Russo's New York Pizzeria,Chicken Mulligatawny,24
Aquarium Restaurant,Blue Point Stew,20
Aquarium Restaurant,French bread,18
Aquarium Restaurant,Corn bread,18
Aquarium Restaurant,Crumb Fry,22
Cultivated F+B,Beef Stew,7
Cultivated F+B,Tomato Soup,24
Cultivated F+B,Blue Point Fry,10
Cultivated F+B,Filet of sole a la Horly,21
Maggie Rita's,Fried Plaice - Meuniere,23
Maggie Rita's,Sausage & Mashed Potatoes,1
Maggie Rita's,Fried Jew Fish, Sauce Tartare,30
Maggie Rita's,Fruit in Season,25
Main Kitchen,Fried country sausage and buckwheat cakes,22
Main Kitchen,Stewed california prunes,29
Main Kitchen,Ham omelette,12
Main Kitchen,Fried hominy,2
St. Jac's,Egg, to order,13
St. Jac's,Diamond stew,30
St. Jac's,Boiled or Broiled Salt Mackerel,25
St. Jac's,Whitefish,8
Swallow's Nest,Codfish in Cream,3
Swallow's Nest,Fried Scollops,18
Swallow's Nest,Breakfast Bacon,6
Swallow's Nest,Calf's Liver and Bacon,15
Sunny's,English Mutton Chops,30
Sunny's,Broiled Spring Chicken,10
Sunny's,Sirloin or Tenderloin Steak,27
Sunny's,Corned Beef Hash, Browned,3
Cellar 7 Wine & Bar Bites,Stewed Honeycomb Tripe, Lyonnaise,30
Cellar 7 Wine & Bar Bites,Frizzled Beef, in Cream,30
Cellar 7 Wine & Bar Bites,Eggs as Ordered,6
Cellar 7 Wine & Bar Bites,Fried Indian Mush or Hominy,23
South Bank Seafood Bar,Lyonnaise,11
South Bank Seafood Bar,Stewed in Cream,4
South Bank Seafood Bar,Saute,28
South Bank Seafood Bar,Rye, Graham or Boston Brown Bread,24
Sambuca,Vienna Rolls,25
Sambuca,Papovers,28
Sambuca,wheat or Buckwheat Cakes, with Maple Syrup,11
Sambuca,Corn Meal Mush,10
Lawless Spirits & Kitchen,Scotch grouse en casserole,12
Lawless Spirits & Kitchen,Soup Ã¡ l'Ã©cossaise,24
Lawless Spirits & Kitchen,Broiled Blue Fish,28
Lawless Spirits & Kitchen,Chicken Liver on Toast with Bacon,13
Azuma Downtown,Puff over,17
Azuma Downtown,Passion Fruit,4
Azuma Downtown,Kippered Herrings,4
Azuma Downtown,Curried Pork and Rice,21
Hpou Union Hall,Eggs, boiled,17
Hpou Union Hall,Fillets of Beef with Mushrooms,5
Hpou Union Hall,Consomme Macaroni,1
Hpou Union Hall,Hard Boiled Egg,8
Rothman Institute Cabin,Broiled Mackerel - Maitre d'Hotel,29
Rothman Institute Cabin,Sirloin Steak -- Fried Onions,3
Rothman Institute Cabin,Devilled Chicken,6
Rothman Institute Cabin,Lamb Hash en Bordure,17
The American Pub,Broiled Salmon Trout,11
The American Pub,Grilled Mutton Kidneys & Bacon,29
The American Pub,Apfel,10
The American Pub,Maisgries,28
McCormick & Schmick's Seafood & Steaks,Gebratene Seezunge,29
McCormick & Schmick's Seafood & Steaks,Fried Halibut, Sauce Tartare,11
McCormick & Schmick's Seafood & Steaks,Yarmouth Bloaters,24
McCormick & Schmick's Seafood & Steaks,Fillet Steads with Mushrooms,30
Rothman Cabin,Lamb Chops, Broiled Plain,9
Rothman Cabin,Whiting - Meuniere,17
Rothman Cabin,Broiled Rashers of Bacon with Fried Bananas,17
Rothman Cabin,Sirloin Steak - Fried Onions,2
Giovani's Bar & Grill,Tripe Fritters,28
Giovani's Bar & Grill,Jambon Grille,23
Giovani's Bar & Grill,Mutton Chops - Saute Potatoes,23
Giovani's Bar & Grill,Calfs Liver + Bacon,28
Del Frisco's Double Eagle Steakhouse,Fried & Boiled Potatoes,10
Del Frisco's Double Eagle Steakhouse,Sirloin Steaks aux Cepes,26
Del Frisco's Double Eagle Steakhouse,Beefsteaks with Horseradish,12
Del Frisco's Double Eagle Steakhouse,Dry and buttered Toast,17
R2L Restaurant,Salt Cod, Egg Sauce,2
R2L Restaurant,Rice Cakes,16
R2L Restaurant,Honey in the Comb,21
R2L Restaurant,Ris de Veau aux Epinards,9
Bluestone Lane,Broiled Green Bluefish, Drawn Butter,4
Bluestone Lane,Roast Leg of Mutton & Black Currant,2
Bluestone Lane,Frizzled Breakfast Bacon (to order),4
Bluestone Lane,French Fried Potatoes with Dinner Orders,21
Tir na nOg Irish Bar & Grill,Roast (Vancouver) Suckling Pig & Bread Sauce,14
Tir na nOg Irish Bar & Grill,Saute of Kidney,12
Tir na nOg Irish Bar & Grill,Knuckle of Veal, Bacon & Parsely Sauce,27
Tir na nOg Irish Bar & Grill,Coffee, Tea or Cocoa,10
Parkside Beef & Ale,liver and bacon,7
Parkside Beef & Ale,Fillet de Boeuf a la Parisienne,28
Parkside Beef & Ale,Fried Chicken a la Maryland,10
Parkside Beef & Ale,Fried sole,6
The Capital Grille,Bouchees aux Macaroni,1
The Capital Grille,Cold Ham with Potato Salad,28
The Capital Grille,mutton chops with potato chips,3
The Capital Grille,Pork Sausage and Lyonaisse Potatoes,26
Chris' Jazz Cafe,Roast Goose & Apple Sauce,2
Chris' Jazz Cafe,Oyster Stew,30
Chris' Jazz Cafe,Hot Breads,7
Chris' Jazz Cafe,Pork Sausage and Lyonnaise Potatoes,26
Underground Arts,Potato a la Maitre d'Hotel,16
Underground Arts,Cracked Wheat with Fresh Milk,17
Underground Arts,Boiled Cabbage,8
Underground Arts,Strawberries and Cream,1
Harp & Crown,Mashed Pumpkins,21
Harp & Crown,Roast in shell,4
Harp & Crown,Bread Pudding, Hard Sauce,22
Harp & Crown,Indo Curry & Rice,19
Rumor,Rice or Tapioca Pudding,7
Rumor,Fruit Pie,8
Rumor,Chocolate Pudding with Cream,28
Rumor,Scotch Sandwiches,25
1500 Lounge,Corn Starch Pudding with Cream,26
1500 Lounge,Swiss Rolls,16
1500 Lounge,Cold Ham,10
1500 Lounge,Cup Custard,26
Ocean Prime,Jam and Marmalade,17
Ocean Prime,Lettuce,30
Ocean Prime,Cum-quats,22
Ocean Prime,Raisin and Pound Cake,6
Oyster House,Fillet Steak and Lamb Chops to Order,15
Oyster House,Calf's Liver Saute,5
Oyster House,Brazil Nuts,2
Oyster House,Almonds & Raisins,3
Ladder 15,Stilton Cheese,6
Ladder 15,Broiled Lambs Kidney,28
Ladder 15,MacLaren Cheese,5
Ladder 15,China & Indian Teas,3
Oscar's Tavern,Eggs Bacon and Ham to Order,20
Oscar's Tavern,Breakfast Jem,27
Oscar's Tavern,Breakfast Rolls,1
Oscar's Tavern,Germea,16
Gypsy Bar,Bananas & Apples,28
Gypsy Bar,Hot Rolls,26
Gypsy Bar,Tea Coffee and Cocoa,10
Gypsy Bar,Kraftsuppe, Prinzessin Art,21
Blue Hound Kitchen & Cocktails,Sonoma,21
Blue Hound Kitchen & Cocktails,Gekochter Steinbutt, Granatsauce, zerlassene Butter,17
Blue Hound Kitchen & Cocktails,Findon Haddocks,2
Blue Hound Kitchen & Cocktails,Cromesquis von Schinken,29
Chico Malo,Fillet Steaks and Mushrooms,8
Chico Malo,Blumenkohl, hollandische Sauce,18
Chico Malo,Cotelettes de Veau, Sauce Tomate,9
Chico Malo,Gratinierter Eierkuchen nach Mornay,21
Copper Blues Rock Pub & Kitchen,Boiled Fried potatoes,16
Copper Blues Rock Pub & Kitchen,Pork Sausages, Snowflake Potatoes,11
Copper Blues Rock Pub & Kitchen,Lambs' Liver with Bacon,21
Copper Blues Rock Pub & Kitchen,Tea + Coffee,2
Taggia,Citronen-Auflauf,26
Taggia,Cape Horn Hash,24
Taggia,A. A. Oats with Fresh Milk,18
Taggia,Fried Whiting,6
Ant Tart,Flannel Cakes,2
Ant Tart,Saute of Sheeps Kidney,5
Ant Tart,Smoked Schnapper, Butter Sauce,29
Ant Tart,Fillet Steak Fried Potatoes,27
Above the Top Shelf,Finnon Haddock Butter Sauce,4
Above the Top Shelf,Mutton Stew,10
Above the Top Shelf,Broiled Lamb Chops,23
Above the Top Shelf,Eggs, Bacon and Ham to Order,27
Lucky Strike Phoenix,N.Y. Public Library,12
Lucky Strike Phoenix,Beef Steak & onions,20
Lucky Strike Phoenix,Fried Bananas,29
Lucky Strike Phoenix,Egg to Order,13
Hanny's,Boiled potato,10
Hanny's,Currant Buns,26
Hanny's,Waffle,19
Hanny's,Jam & Marmalade,15
Lustre Rooftop Bar,Fruit.,2
Lustre Rooftop Bar,Sirloin Steaks with Onions,5
Lustre Rooftop Bar,Dipped Toast,29
Lustre Rooftop Bar,Tripe a la Bordelaise,13
Melindas Alley,Curried Chicken with Rice,18
Melindas Alley,Mutton Chops,16
Melindas Alley,Potato Chips,13
Melindas Alley,Curried Veal and Rice,14
The Strand,Cold: Ox Tongue,1
The Strand,Tripe, Stewed in Cream,12
The Strand,Egg Muffins,23
The Strand,Devilled Mutton Kidneys and Bacon,26
Melindas Speakeasy Red Light,Fried Sausages, Mashed Potatoes,14
Melindas Speakeasy Red Light,Devilled Kidney,17
Melindas Speakeasy Red Light,Pettijohn,5
Melindas Speakeasy Red Light,Fried Ham & Eggs,22
Bitter & Twisted Cocktail Parlour,Spanish Omelettes,5
Bitter & Twisted Cocktail Parlour,Calves Liver and Onions,10
Bitter & Twisted Cocktail Parlour,Mutton Chops (to order),18
Bitter & Twisted Cocktail Parlour,Lamb Chops,7
The Arrogant Butcher,Onions,18
The Arrogant Butcher,Boiled Corn Meal with Cream,1
The Arrogant Butcher,Maple Syrup,29
The Arrogant Butcher,Curried Shrimps and Rice,27
Tilted Kilt Pub and Eatery,Honey,15
Tilted Kilt Pub and Eatery,Fillet Steaks with Mushrooms,24
Tilted Kilt Pub and Eatery,Porterhouse Steak and Lamb Chops,1
Tilted Kilt Pub and Eatery,Tongues and Sounds,3
The Kettle Black Kitchen & Pub,Breakfast Delight,12
The Kettle Black Kitchen & Pub,Fresh Comb Honey,7
The Kettle Black Kitchen & Pub,Broiled Boned Smelts,2
The Kettle Black Kitchen & Pub,Blue Points on the Shell,21
Deli Tavern,Fried Country Sausages and Lima Beans,24
Deli Tavern,Oxtail Ragout and Vegetable,20
Deli Tavern,Oyster Pan Roast on Toast,16
Deli Tavern,Mutton Chops Bratonne,5
Union Market,Roast Leg of English Mutton,18
Union Market,Lynnhavens,14
Union Market,Hamburger Steak and Onions,1
Union Market,Pork Sausages,3
Society Workspace,Little Neck Clams on the Shell,23
Society Workspace,Frankfurter Sausages and Sauerkraut,13
Society Workspace,Cape Cods,4
Society Workspace,Curried Prawns and Rice with Bombay Duck,25
The Bar,Mashed Turnips,11
The Bar,Fried Liver & Bacon,15
The Bar,Potatoes,4
The Bar,Potatoes Saute,11
The Roosevelt Buffet,Fried and broiled Ham,14
The Roosevelt Buffet,Eclairs,19
The Roosevelt Buffet,Pies,28
The Roosevelt Buffet,Potatoes boiled and Mashed,12
Biga on the Banks,Hot Biscuits,8
Biga on the Banks,Bloaters,20
Biga on the Banks,Broiled Lamb Kidneys and Bacon,3
Biga on the Banks,Toast,5
The Esquire Tavern,Jelly omelette,23
The Esquire Tavern,Broiled Lamb Chops and Bacon,6
The Esquire Tavern,Sauterne 1ere,26
The Esquire Tavern,St. Julien Superieur,22
Tejano bar,Haut Sauternes,29
Tejano bar,Sherry,18
Tejano bar,Laubenheimer,26
Tejano bar,Smoked Tongue,22
Reyes Bar,Hochheimer,9
Reyes Bar,Mumm's Ex. Dry,22
Reyes Bar,Pommery Sec,9
Reyes Bar,Cliquot Sec,25
Downstairs,Moet & Chandon, Brut,2
Downstairs,Irroy Brut,3
Downstairs,Apollinaris,1
Downstairs,Johannis,24
Cadillac Bar,Consomme Daumont,10
Cadillac Bar,Bisque of Crawfish,3
Cadillac Bar,Timbales Warsaw,2
Cadillac Bar,Fillet of Beef with Fresh Mushrooms,11
Thirsty Aztec,Poularde Stuffed with Chestnuts,20
Thirsty Aztec,French Peas with Butter,18
Thirsty Aztec,New Asparagus, Cream Sauce,12
Thirsty Aztec,Sherbert Roman,2
The Aztec Theatre,Celery Salad,1
The Aztec Theatre,Fancy Ice Cream,14
The Aztec Theatre,Broiled Shad Maitre d'Hotel,13
The Aztec Theatre,Cakes,21
Iron Cactus Mexican Restaurant and Margarita Bar,Mutton chops fried potatoes,13
Iron Cactus Mexican Restaurant and Margarita Bar,ROAST SQUAB ON TOAST, WITH APRICOTS,26
Iron Cactus Mexican Restaurant and Margarita Bar,ASPARAGUS, BROWN BUTTER,24
Iron Cactus Mexican Restaurant and Margarita Bar,Beef Steak & fried onions,17
Zocca Cuisine D’Italia,Smoked Snapper,5
Zocca Cuisine D’Italia,Fillets of Steak with Champignons,29
Zocca Cuisine D’Italia,Curried Lamb and Rice,6
Zocca Cuisine D’Italia,Broiled Chicken on Toast,14
River Tours San Antonio,Stewed Tripe, Cream sauce,2
River Tours San Antonio,Mutton Chops with Fried Potatoes,13
River Tours San Antonio,Kaffee,22
River Tours San Antonio,Obst.,11
VBar,Nachtisch.,13
VBar,Fried Gar fish,22
VBar,Batter Cakes,18
VBar,Oat Meal Porridge,13
Ostra Restaurant,Pork Cutlets,5
Ostra Restaurant,Hamburg Steak Spanish Sauce,1
Ostra Restaurant,Lemon Soda,22
Ostra Restaurant,Tea & Coffee,28
SoHo Wine & Martini Bar,Russischer Borscht,11
SoHo Wine & Martini Bar,Rice, Semolina,26
SoHo Wine & Martini Bar,Pork Cutlet,16
SoHo Wine & Martini Bar,Buffalo Lithia Water,30
Las Canarias,Congress Water,15
Las Canarias,Roast Duck,3
Las Canarias,Giblets,16
Las Canarias,Hunyadi,15
El Colegio,Cornbread,4
El Colegio,Russet Cider,15
El Colegio,Salad,16
El Colegio,Cucumber,5
El Nuevo Tenampa,Lockchen Pudding,21
El Nuevo Tenampa,Vienna Pudding,12
El Nuevo Tenampa,Semolina Pudding,2
El Nuevo Tenampa,Liver,26
Waxy's,Klops,6
Waxy's,Sally Lunn Buns,22
Waxy's,Minced Chicken with Creamed Rice,1
Waxy's,Lockchen Ferfel,13
Gaslamp Fish House,Steak,17
Gaslamp Fish House,Coffee and Tea,18
Gaslamp Fish House,Wiener Schnitzel,21
Gaslamp Fish House,Lambs' Liver, Fried with Onions,21
Spike Africa's Fresh Fish Grill & Bar,potage a la chatelaine,18
Spike Africa's Fresh Fish Grill & Bar,Fillet Steaks, Spanish Style,26
Spike Africa's Fresh Fish Grill & Bar,Eggs au Soleil,15
Spike Africa's Fresh Fish Grill & Bar,Stewed Beef,17
Rendezvous,Pickled Mackerel,6
Rendezvous,Corned Beef and Cabbage,14
Rendezvous,Oyster Patties,9
Rendezvous,Fillet of Beef a la Financiere,15
Rei Do Gado Brazilian Steakhouse,Beef and Brown Potatoes,21
Rei Do Gado Brazilian Steakhouse,Pork and Apple Sauce,8
Rei Do Gado Brazilian Steakhouse,Cauliflower,26
Rei Do Gado Brazilian Steakhouse,String Beans,17
Urban India,Boiled and Mashed Potatoes,12
Urban India,Rice Custard, Cream Sauce,2
Urban India,Blackberry Pie,3
Urban India,Italian Cream,28
Grant Grill Lounge,Roast Phil'a Chicken,9
Grant Grill Lounge,Red Herrings,30
Grant Grill Lounge,Turtle Steaks, Perigueux,27
Grant Grill Lounge,Broiled Mutton Chops,7
Bassmnt San Diego,Hamburger Steaks,9
Bassmnt San Diego,Broiled Cumberland Ham (to order),23
Bassmnt San Diego,Veal Cutlets, Tomato Sauce,28
Bassmnt San Diego,Stewed rhubarb,28
Phantom Lounge and Nightclub,Fried Potatoes,5
Phantom Lounge and Nightclub,Stewed Tripe, White Sauce,7
Phantom Lounge and Nightclub,Stewed French prunes,26
Phantom Lounge and Nightclub,Florida oranges,9
The Local Eatery & Drinking Hole,Sliced bananas with cream,22
The Local Eatery & Drinking Hole,Hot corn muffins,9
The Local Eatery & Drinking Hole,Schottische Suppe,6
The Local Eatery & Drinking Hole,Pork Sausage with White Wine,3
Resident Brewing,Buttered toast,30
Resident Brewing,Shrewsburys,19
Resident Brewing,Succotash, amerikanische Art,7
Resident Brewing,Milk toast,5
Downtown Fish Joint,Cream toast,20
Downtown Fish Joint,Boston cream toast,29
Downtown Fish Joint,Cotuits,21
Downtown Fish Joint,Bratapfel mit Schlagsahne,3
Full Moon SD,Aprikosen- & Pflaumen-Kompott,18
Full Moon SD,Tomatoes,16
Full Moon SD,Reistortchen,23
Full Moon SD,Entre-cote a la Bercy,23
Osetra Seafood & Steaks,Roast Turkey,7
